"" , "$Gender missing" , 6177535
"$local" , "transgender female" , 1
"$local" , "mala" , 1
"$local" , "Females #2 lcsh" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2015001938" , "Females+Composition teachers (Music)" , 1
"$local" , "(lcdgt) Malew" , 2
"$local" , "(lcdgt) Women j" , 1
"$local" , "(lcdft) Females" , 2
"$local" , "male+dan" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060361" , "Boys" , 2
"$local+http://id.loc.gov/authorities/subjects/sh2003002211" , "female+Piano teachers" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060391+http://id.loc.gov/authorities/demographicTerms/dg2015060392" , "Females+Composers+Lyricists" , 1
"$local" , "(lcdgt) <ales" , 1
"$local" , "females  $2 lcdgt" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85017569" , "male+Buddhist monks" , 1
"http://id.loc.gov/authorities/subjects/sh85088067" , "Motion picture producers and directors" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85026338+http://id.loc.gov/authorities/subjects/sh85103733" , "male+Civil engineers+Poets" , 1
"$local" , "(naf) Females" , 8
"$local+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85106741" , "male+College teachers+Printers" , 1
"http://id.loc.gov/authorities/subjects/sh2007003708+http://id.loc.gov/authorities/subjects/sh2018002395+http://id.loc.gov/authorities/subjects/sh85080137" , "Transgender people+Transgender men+Males" , 1
"$local" , "(lcdgt) Femailes" , 1
"http://id.loc.gov/authorities/subjects/sh85008276" , "Artists" , 1
"$local" , "(ldcgt) Males" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85101610" , "male+Physicians" , 2
"$local" , "males+lcdgt" , 1
"$local" , "fermale" , 1
"http://id.loc.gov/authorities/names/n81007353" , "Aude (France : Department)" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "(homoit) Genderqueer people+Transgender people" , 1
"$local" , "male-to-female transsexuals+female+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85103733" , "Females+Authors+Poets" , 1
"$local" , "Female-to-male transsexual" , 1
"$local" , "(lch) Males" , 1
"$local" , "femal" , 13
"$local" , "(lcgdt) Females" , 6
"$local" , "Females 2 lcsh" , 3
"$local" , "(lcgft) males" , 2
