"Fa'afafine+Females+Transgender people" , 1
"Transgender people+Intersex people" , 1
"eng+bul" , 1
"Philologists" , 1
"female]" , 1
"male+not known" , 1
"Males+Fire fighters" , 1
"spa+eng" , 1
"(kcdgt) Females" , 1
"Hemchandra, Ch." , 1
"male+(lcdgt) Male" , 1
"male+ara" , 1
"Females+Lesbians+Two-spirit people" , 1
"make" , 2
"Males. $2 lcdgt" , 1
"female+transsexual" , 1
"spa+(lcdgt) males" , 1
"Bois+Gender non-conformists+Females" , 1
"(lcdgt) Famles" , 1
"(lcdgt) Sex+Males" , 1
"Nonbinary+Non-binary" , 1
"male+Sociologists" , 1
"tam+Males" , 2
"cat+spa" , 1
"Males+Authors+Periodical editors" , 1
"Children's literature" , 1
"Females+Law teachers" , 1
"(lcdgt) mles" , 1
"(lcdgt) Maels" , 2
"Transgender woman" , 1
"tgl+eng" , 1
"Males lcsh" , 1
"Bisexuals" , 1
"Editors+Musicologists" , 1
"Females+Gestalt therapists" , 1
"(lcdgt) Gender non-binary femmes" , 1
"Females+Transsexuals+Male-to-female transsexuals" , 1
"(lcdgt) gender - Males Females other" , 1
"Males+Camera operators+Cinematographers" , 1
"(lcs h) Males" , 1
"remale" , 2
"(lcsh) not known" , 2
"Author" , 1
"Authors+Men" , 1
"male iso5218" , 1
"Females+Editors+Poets" , 1
"Males$2lcdgt" , 1
"(edtf) Men" , 1
"(lcdgt) Mailes" , 1
"arm+(lcdgt) males" , 1
"(lcsh) Translator" , 1
"fre+male" , 1
"fre+Males" , 2
"Males+Composers+Lyricists+Musicians+Sound recording executives and producers" , 1
"(lcdgt) Malas" , 1
"Females+Nuns+Missionaries" , 1
"Males+Ukrainians" , 1
"Males+Females+Transsexuals+Male-to-female transsexuals" , 1
"Males+Authors+Elementary school teachers" , 1
"femenino" , 1
"female+African American artists+African American fashion designers" , 1
"(lcsh) Nonbinary people" , 1
"Teachers" , 1
"Author+female" , 1
"(lcdgt) College teachers+(lcdgt) Authors" , 1
"est" , 1
"Females+Sommeliers+Authors+Restaurateurs" , 1
"lcsh+Females" , 1
"(homoit) Transgender people+Males+Transgender people" , 1
"(lcsdt) Females" , 1
"(lcdgt) females+eng" , 1
"cpe+eng+Females" , 1
"pus+male" , 1
"male+female+Transgender people" , 1
"Males+Journalists+Translators" , 1
"(lcdgt) Computer scientists+Males" , 1
"Transgender woman+Females+Transgender people" , 1
"famel" , 1
"(lcs) Females" , 1
"(lcdgt) Femalea" , 1
"(lcshb) Males" , 1
"Females+Senegalese" , 1
"afr+eng+male" , 1
"Males+Females+Transgender women" , 1
"few" , 1
"por+male" , 1
"Soldiers" , 1
"Classicists+Philologists+Teachers+Translators" , 1
"(lcsh) University and college faculty members" , 1
"(lcgdt) Men" , 1
"Pianists+lcsh+Singers+Men" , 1
"(lcsh) Femals" , 1
"(lcdgt) Malex" , 1
"(lcdgt) FEmales" , 1
"Artists+Authors" , 1
